kategorie;name;gebinde_text;packungsgroesse;einheit;gebindegroesse_liter;ek_preis_gebinde_eur;sortierung;excel_zeile;original_excel;pruefen
Wasser;Gerolsteiner Sprudel;24 x 0,25;24;FLASCHE;0,25;8,58;10;2;Gerolsteiner Sprudel;
Wasser;Gerolsteiner Still;24 x 0,25;24;FLASCHE;0,25;8,58;20;3;Gerolsteiner Still;
Wasser;Gerolsteiner Sprudel;12 x 0,75;12;FLASCHE;0,75;8,33;30;4;Gerolsteiner Sprudel ;
Wasser;Gerolsteiner Still;12 x 0,75;12;FLASCHE;0,75;8,33;40;5;Gerolsteiner Still;
Wasser;Salinger Mineral (Perso- und Mischwasser);12 x 0,75;12;FLASCHE;0,75;4,5;50;6;Salinger Mineral (Perso- und Mischwasser);
Wasser;Salinger Still;12 x 0,75;12;FLASCHE;0,75;4,5;60;7;Salinger still;
Softdrinks;Coca Cola;12 x 1,0;12;FLASCHE;1,0;14,45;70;8;Coca Cola;
Softdrinks;Coke Zero;12 x 1,0;12;FLASCHE;1,0;14,45;80;9;Coke Zero;
Softdrinks;Fanta;12 x 1,0;12;FLASCHE;1,0;14,45;90;10;Fanta;
Softdrinks;Sprite;12 x 1,0;12;FLASCHE;1,0;14,45;100;11;Sprite;
Softdrinks;Coca Cola;24 x 0,33;24;FLASCHE;0,33;18,59;110;12;Coca Cola;
Softdrinks;Coke Zero;24 x 0,33;24;FLASCHE;0,33;18,59;120;13;Coke Zero;
Softdrinks;Fanta;24 x 0,33;24;FLASCHE;0,33;18,59;130;14;Fanta;
Softdrinks;Sprite;24 x 0,33;24;FLASCHE;0,33;18,59;140;15;Sprite;
Softdrinks;Fuze Eistee Lemon;24 x 0,25;24;FLASCHE;0,25;21,47;150;16;Fuze Eistee Lemon;
Softdrinks;Fuze Eistee Peach;24 x 0,25;24;FLASCHE;0,25;21,47;160;17;Fuze Eistee Peach;
Softdrinks;Veltins Fassbrause Zitrone;24 x 0,33;24;FLASCHE;0,33;15,66;170;18;Veltins Fassbrause Zitrone;
Softdrinks;Veltins Fassbrause Holunder;24 x 0,33;24;FLASCHE;0,33;15,66;180;19;Veltins Fassbrause Holunder;
Softdrinks;Veltins Fassbrause Maracuja;24 x 0,33;24;FLASCHE;0,33;15,66;190;20;Veltins Fassbrause Maracuja;
Softdrinks;Veltins Fassbrause Cola Orange;24 x 0,33;24;FLASCHE;0,33;15,66;200;21;Veltins Fassbrause Cola Orange;
Softdrinks;Veltins Fassbrause Eistee Pfirsich;24 x 0,33;24;FLASCHE;0,33;15,66;210;22;Veltins Fassbrause Eistee Pfirsich;
Softdrinks;Granini Limo Grapefruit-Cranberry;24 x 0,33;24;FLASCHE;0,33;17,99;220;23;Granini Limo Grapefruit-Cranberry 0,33l;
Softdrinks;Granini Limo Orange-Lemongras;24 x 0,33;24;FLASCHE;0,33;17,99;230;24;Granini Limo Orange-Lemongras;
Softdrinks;Granini Limo Zitrone-Limette;24 x 0,33;24;FLASCHE;0,33;17,99;240;25;Granini Limo Zitrone-Limette;
Softdrinks;Granini Schorle Kirsche;24 x 0,33;24;FLASCHE;0,33;18,99;250;26;Granini Schorle Kirsche;
Softdrinks;Granini Schorle Maracuja;24 x 0,33;24;FLASCHE;0,33;18,99;260;27;Granini Schorle Maracuja;
Softdrinks;Granini Schorle Rhabarber;24 x 0,33;24;FLASCHE;0,33;18,99;270;28;Granini Schorle Rhabarber ;
Softdrinks;Granini Schorle Apfel;24 x 0,33;24;FLASCHE;0,33;18,99;280;29;Granini Schorle Apfel ;
Saefte;Granini Saft Orange;6 x 1,0;6;FLASCHE;1,0;15,76;290;30;Granini Saft Orange;
Saefte;Granini Saft Apfel;6 x 1,0;6;FLASCHE;1,0;12,3;300;31;Granini Saft Apfel;
